timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2018-01-01 00:00:00+00:00,XBTUSD,12673.5,14350.0,12468.5,13873.0,255579,814405650,13342.2282,168,6104241231065,61042.41231064988,814405650.0
2018-01-02 00:00:00+00:00,XBTUSD,13873.0,14011.5,12772.0,13477.0,232934,638958746,13394.053,1900,4770981481934,47709.81481933991,638958746.0
2018-01-03 00:00:00+00:00,XBTUSD,13477.0,15269.0,12900.0,14786.5,268891,904159652,14070.6346,230,6426424407545,64264.244075449824,904159652.0
2018-01-04 00:00:00+00:00,XBTUSD,14786.5,15524.0,14555.0,15157.0,238572,812686550,15006.0024,11000,5416401174154,54164.011741539565,812686550.0
2018-01-05 00:00:00+00:00,XBTUSD,15157.0,15500.0,14150.0,15186.0,234126,814142088,14843.4021,6000,5485535868615,54855.35868614973,814142088.0
2018-01-06 00:00:00+00:00,XBTUSD,15186.0,17088.0,14805.0,16891.0,251654,1010611092,15987.2102,500,6321881436567,63218.81436567059,1010611092.0
2018-01-07 00:00:00+00:00,XBTUSD,16891.0,17422.0,16235.0,17210.0,207313,764303511,16753.225,17654,4562486232182,45624.86232181999,764303511.0
2018-01-08 00:00:00+00:00,XBTUSD,17210.0,17213.0,15770.5,16224.5,212034,863341710,16441.9599,100,5251074809903,52510.74809903028,863341710.0
2018-01-09 00:00:00+00:00,XBTUSD,16224.5,16329.0,13800.0,14952.5,304814,1473520709,15076.1345,1660,9773923856045,97739.23856044971,1473520709.0
2018-01-10 00:00:00+00:00,XBTUSD,14952.5,15375.0,14183.0,14465.0,279980,999024212,14792.8994,3130,6753484338147,67534.84338146981,999024212.0
2018-01-11 00:00:00+00:00,XBTUSD,14465.0,15012.5,13426.0,14963.5,295339,1154658078,14188.4222,200,8138439862129,81384.39862128944,1154658078.0
2018-01-12 00:00:00+00:00,XBTUSD,14963.5,15033.5,12703.5,13287.5,332016,1514629882,13566.6802,8678,11164412534620,111644.12534619961,1514629882.0
2018-01-13 00:00:00+00:00,XBTUSD,13287.5,14197.0,12818.5,13874.5,245539,886264793,13622.1223,4021,6506910766052,65069.10766052,886264793.0
